Date,Home,Away
2018-05-30,Pirates,Cubs
2018-04-24,White Sox,Mariners
2018-07-01,Orioles,Angels
2018-06-28,Rangers,Padres
2018-07-26,Rockies,Astros
2018-08-04,Brewers,Rockies
2018-09-29,Padres,Diamondbacks
2018-09-12,Tigers,Astros
2018-09-11,Angels,Rangers
2018-09-30,Brewers,Tigers
2018-09-01,Athletics,Mariners
2018-09-29,Giants,Dodgers
2018-09-25,Mets,Braves
2018-08-21,Dodgers,Cardinals
2018-04-14,Padres,Giants
2018-07-19,Cubs,Cardinals
2018-06-28,Red Sox,Angels
2018-06-08,Blue Jays,Orioles
2018-04-07,Giants,Dodgers
2018-07-09,Orioles,Yankees
2018-09-01,Padres,Rockies
2018-05-27,Mariners,Twins
2018-05-14,Red Sox,Athletics
2018-08-15,Twins,Pirates
2018-08-13,Yankees,Mets
2018-09-23,Marlins,Reds
2018-05-19,Angels,Rays
2018-05-26,Dodgers,Padres
2018-04-27,Phillies,Braves
2018-09-08,Athletics,Rangers
2018-07-03,Cubs,Tigers
2018-04-06,Pirates,Reds
2018-09-08,Twins,Royals
2018-03-31,Dodgers,Giants
2018-06-27,Red Sox,Angels
2018-05-02,Giants,Padres
2018-09-16,Angels,Mariners
2018-09-01,Marlins,Blue Jays
2018-07-08,Mets,Rays
2018-05-01,Twins,Blue Jays
2018-08-27,Orioles,Blue Jays
2018-06-30,Rangers,White Sox
2018-05-27,Mariners,Twins
2018-07-15,Braves,Diamondbacks
2018-07-13,Red Sox,Blue Jays
2018-05-23,Nationals,Padres
2018-06-12,Rays,Blue Jays
2018-06-16,Dodgers,Giants
2018-06-09,Rockies,Diamondbacks
2018-08-13,Tigers,White Sox
2018-05-04,Mets,Rockies
2018-04-17,Mariners,Astros
2018-09-18,Yankees,Red Sox
2018-07-13,Braves,Diamondbacks
2018-09-23,White Sox,Cubs
2018-06-20,Yankees,Mariners
2018-07-14,Orioles,Rangers
2018-07-28,Marlins,Nationals
2018-04-03,Tigers,Royals
2018-05-28,Tigers,Angels
2018-05-08,Cubs,Marlins
2018-04-08,White Sox,Tigers
2018-04-29,Angels,Yankees
2018-09-15,Cubs,Reds
2018-08-08,Rangers,Mariners
2018-09-01,Royals,Orioles
2018-07-24,Rangers,Athletics
2018-05-06,Yankees,Indians
2018-09-09,Brewers,Giants
2018-08-23,Mets,Giants
2018-08-29,Padres,Mariners
2018-08-18,Red Sox,Rays
2018-07-15,Pirates,Brewers
2018-09-22,Nationals,Mets
2018-06-05,Reds,Rockies
2018-05-25,Cubs,Giants
2018-05-27,Pirates,Cardinals
2018-08-28,Cubs,Mets
2018-05-16,Giants,Reds
2018-04-28,Nationals,Diamondbacks
2018-04-02,Tigers,Royals
2018-06-23,Red Sox,Mariners
2018-07-24,Indians,Pirates
2018-07-03,Brewers,Twins
2018-05-08,Athletics,Astros
2018-05-04,Yankees,Indians
2018-06-20,Padres,Athletics
2018-03-30,Braves,Phillies
2018-08-10,Cubs,Nationals
2018-06-20,Cubs,Dodgers
2018-08-25,Royals,Indians
2018-05-15,Marlins,Dodgers
2018-07-30,Cardinals,Cubs
2018-07-07,Royals,Red Sox
2018-05-03,Nationals,Pirates
2018-09-13,Royals,White Sox
2018-07-22,Diamondbacks,Rockies
2018-07-30,Red Sox,Phillies
2018-07-06,Giants,Cardinals
2018-05-01,Red Sox,Royals
2018-07-22,Angels,Astros
2018-06-28,White Sox,Twins
2018-08-01,White Sox,Royals
2018-04-14,Astros,Rangers
2018-09-02,Dodgers,Diamondbacks
2018-07-08,Royals,Red Sox
2018-09-23,Diamondbacks,Rockies
2018-08-19,Yankees,Blue Jays
2018-09-30,Padres,Diamondbacks
2018-06-12,Cardinals,Padres
2018-05-27,Indians,Astros
2018-07-04,Athletics,Padres
2018-04-26,Cardinals,Mets
2018-05-28,Cubs,Giants
2018-06-30,Marlins,Mets
2018-05-01,Marlins,Phillies
2018-06-27,Astros,Blue Jays
2018-04-28,Indians,Mariners
2018-06-17,Diamondbacks,Mets
2018-05-11,Pirates,Giants
2018-08-19,Braves,Rockies
2018-04-24,Blue Jays,Red Sox
2018-06-16,Royals,Astros
2018-05-09,Yankees,Red Sox
2018-08-24,Orioles,Yankees
2018-09-26,Cubs,Pirates
2018-04-25,Royals,Brewers
2018-04-27,Marlins,Rockies
2018-08-03,Cubs,Padres
2018-07-04,Nationals,Red Sox
2018-07-29,Marlins,Nationals
2018-07-10,Mets,Phillies
2018-09-18,Rangers,Rays
2018-09-04,Pirates,Reds
2018-08-06,Red Sox,Yankees
2018-07-08,Indians,Athletics
2018-09-03,Brewers,Cubs
2018-07-31,Tigers,Reds
2018-09-12,Royals,White Sox
2018-09-22,Blue Jays,Rays
2018-07-02,Marlins,Rays
2018-07-31,Padres,Giants
2018-05-28,Mariners,Rangers
2018-04-07,Yankees,Orioles
2018-08-26,Twins,Athletics
2018-08-19,Twins,Tigers
2018-07-03,Dodgers,Pirates
2018-07-22,Diamondbacks,Rockies
2018-08-14,Royals,Blue Jays
2018-05-26,Indians,Astros
2018-09-27,Diamondbacks,Dodgers
2018-08-07,Rays,Orioles
2018-06-13,Mariners,Angels
2018-09-19,Dodgers,Rockies
2018-08-17,Red Sox,Rays
2018-04-17,Blue Jays,Royals
2018-06-17,Blue Jays,Nationals
2018-08-12,Marlins,Mets
2018-09-05,Indians,Royals
2018-07-14,Padres,Cubs
2018-05-19,Mets,Diamondbacks
2018-07-10,Braves,Blue Jays
2018-05-19,Pirates,Padres
2018-07-22,Phillies,Padres
2018-07-07,Angels,Dodgers
2018-07-11,Pirates,Nationals
2018-08-04,Indians,Angels
2018-09-11,Reds,Dodgers
2018-04-13,Indians,Blue Jays
2018-08-06,Indians,Twins
2018-06-03,Tigers,Blue Jays
2018-05-08,Brewers,Indians
2018-07-24,Orioles,Red Sox
2018-07-08,Nationals,Marlins
2018-09-28,Red Sox,Yankees
2018-05-11,Indians,Royals
2018-03-31,Royals,White Sox
2018-04-06,Indians,Royals
2018-04-18,Rays,Rangers
2018-05-09,Dodgers,Diamondbacks
2018-09-24,Rays,Yankees
2018-08-25,Orioles,Yankees
2018-07-29,Angels,Mariners
2018-07-25,Rangers,Athletics
2018-04-04,Brewers,Cardinals
2018-04-11,Giants,Diamondbacks
2018-09-30,Mariners,Rangers
2018-09-17,Cardinals,Dodgers
2018-08-05,Mariners,Blue Jays
2018-09-08,Twins,Royals
2018-08-05,Athletics,Tigers
2018-05-25,Red Sox,Braves
2018-06-20,Royals,Rangers
2018-05-08,Rangers,Tigers
2018-09-13,Mets,Marlins
2018-06-18,Pirates,Brewers
2018-04-25,Cardinals,Mets
2018-07-25,Rockies,Astros
2018-07-07,Mets,Rays
2018-06-30,Cubs,Twins
2018-09-15,Phillies,Marlins
2018-09-07,Diamondbacks,Braves
2018-05-28,Pirates,Cubs
2018-08-12,Angels,Athletics
2018-06-25,Braves,Reds
2018-09-09,Blue Jays,Indians
2018-05-13,Padres,Cardinals
2018-06-27,Braves,Reds
2018-05-24,White Sox,Orioles
2018-06-09,Twins,Angels
2018-05-03,Angels,Orioles
2018-09-19,Tigers,Twins
2018-09-02,Padres,Rockies
2018-08-08,Nationals,Braves
2018-08-08,Royals,Cubs
